system.schema-version,40,2024-10-19 12:32:47.684,[system],2024-12-08 17:09:32.651,[system],1733645372651,N
license.install-datestamp,1733583600000:31929eda17c10f7a0961e567984716a0,2024-10-19 12:32:47.712,[system],2024-12-08 17:09:45.834,[system],1733645385834,N
user.web.custom-links.enabled,N,2024-12-08 17:09:32.471,[system],2024-12-08 17:09:32.471,[system],1733645372471,Y
system.scan.fax.contact.command-args,contact list --global-settings %settings% --contact-settings %contact_settings%,2024-12-08 17:09:32.478,[system],2024-12-08 17:09:32.478,[system],1733645372478,Y
auth.account-api.enabled,N,2024-12-08 17:09:32.479,[system],2024-12-08 17:09:32.479,[system],1733645372479,Y
reports.pdf-char-encoding,"",2024-12-08 17:09:32.479,[system],2024-12-08 17:09:32.479,[system],1733645372479,Y
ldap.schema.user-full-name-field,"",2024-12-08 17:09:32.48,[system],2024-12-08 17:09:32.48,[system],1733645372480,Y
system.log.default.keep-mb,100,2024-12-08 17:09:32.48,[system],2024-12-08 17:09:32.48,[system],1733645372480,Y
internal-users.auto-gen-card-id-num-length,6,2024-12-08 17:09:32.48,[system],2024-12-08 17:09:32.48,[system],1733645372480,Y
system.site.unknown-offline-username,unknown,2024-12-08 17:09:32.481,[system],2024-12-08 17:09:32.481,[system],1733645372481,Y
fleet-deploy.app.devices,0,2024-12-08 17:09:32.481,[system],2024-12-08 17:09:32.481,[system],1733645372481,N
web.error-page.include-diagnostics.system-info,N,2024-12-08 17:09:32.481,[system],2024-12-08 17:09:32.481,[system],1733645372481,Y
system.site.register-http-timeout-secs,"",2024-12-08 17:09:32.481,[system],2024-12-08 17:09:32.481,[system],1733645372481,Y
system.scan.delivery.custom-dispatcher.pool-size,24,2024-12-08 17:09:32.482,[system],2024-12-08 17:09:32.482,[system],1733645372482,Y
ldap.2.admin-dn,"",2024-12-08 17:09:32.482,[system],2024-12-08 17:09:32.482,[system],1733645372482,Y
ext-device.soap.ssl.bind-network-address,"",2024-12-08 17:09:32.484,[system],2024-12-08 17:09:32.484,[system],1733645372484,Y
system.network-address,"",2024-12-08 17:09:32.487,[system],2024-12-08 17:09:32.487,[system],1733645372487,Y
display.login-showing-forgot-link-text,Y,2024-12-08 17:09:32.489,[system],2024-12-08 17:09:32.489,[system],1733645372489,Y
archiving.images.full-size.height-px,3000,2024-12-08 17:09:32.49,[system],2024-12-08 17:09:32.49,[system],1733645372490,Y
release-station.released-job-processing-timeout-secs,DEFAULT,2024-12-08 17:09:32.491,[system],2024-12-08 17:09:32.491,[system],1733645372491,Y
system.site.register-interval-secs,"",2024-12-08 17:09:32.491,[system],2024-12-08 17:09:32.491,[system],1733645372491,Y
ldap.2.schema.user-name-search,"",2024-12-08 17:09:32.492,[system],2024-12-08 17:09:32.492,[system],1733645372492,Y
mobile-release.max-popular-printers,3,2024-12-08 17:09:32.493,[system],2024-12-08 17:09:32.493,[system],1733645372493,Y
ldap.schema.group-member-field,"",2024-12-08 17:09:32.493,[system],2024-12-08 17:09:32.493,[system],1733645372493,Y
system.scan.cloud-max-job-size-kb,204800,2024-12-08 17:09:32.493,[system],2024-12-08 17:09:32.493,[system],1733645372493,Y
system.scan.fax.test.options,-o count=3 -o name-length=13,2024-12-08 17:09:32.494,[system],2024-12-08 17:09:32.494,[system],1733645372494,Y
account.sync.import-subdirectories,N,2024-12-08 17:09:32.494,[system],2024-12-08 17:09:32.494,[system],1733645372494,Y
archiving.images.creator.pages-to-initially-image,4,2024-12-08 17:09:32.495,[system],2024-12-08 17:09:32.495,[system],1733645372495,Y
web-login.admin.session-timeout-mins,DEFAULT,2024-12-08 17:09:32.495,[system],2024-12-08 17:09:32.495,[system],1733645372495,Y
email-printing.enabled,N,2024-12-08 17:09:32.495,[system],2024-12-08 17:09:32.495,[system],1733645372495,Y
scan.stats.total.jobs,0,2024-12-08 17:09:32.496,[system],2024-12-08 17:09:32.496,[system],1733645372496,N
system.log.keep-mb,2048,2024-12-08 17:09:32.496,[system],2024-12-08 17:09:32.496,[system],1733645372496,Y
notify.smtp.outlook-has-admin-consent,N,2024-12-08 17:09:32.496,[system],2024-12-08 17:09:32.496,[system],1733645372496,Y
ldap.schema.user-office-field,"",2024-12-08 17:09:32.496,[system],2024-12-08 17:09:32.496,[system],1733645372496,Y
